log_id,user_id,habit_id,date,status,time_spent,notes
1,1,1,2024-10-01,1,43,"Early morning, very focused"
2,1,2,2024-10-01,1,13,NULL
3,1,3,2024-10-01,1,0,NULL
4,1,4,2024-10-01,1,32,Best session this week
5,1,5,2024-10-01,1,26,NULL
6,1,6,2024-10-01,1,18,Managed to fit it in before dinner
7,1,7,2024-10-01,1,2,Did it right after waking up
8,1,8,2024-10-01,1,10,Managed to fit it in before dinner
9,1,9,2024-10-01,1,58,Did it right after waking up
10,1,10,2024-10-01,1,11,Completed with energy
11,1,11,2024-10-01,1,19,"Early morning, very focused"
12,1,12,2024-10-01,1,24,NULL
13,1,1,2024-10-02,1,22,NULL
14,1,2,2024-10-02,1,21,NULL
15,1,3,2024-10-02,1,0,NULL
16,1,4,2024-10-02,1,32,Short but consistent
17,1,5,2024-10-02,1,49,"Early morning, very focused"
18,1,6,2024-10-02,1,12,On a roll!
19,1,7,2024-10-02,1,2,Feeling motivated
20,1,8,2024-10-02,0,0,NULL
21,1,9,2024-10-02,1,60,Pushed through despite tiredness
22,1,10,2024-10-02,1,15,Feeling motivated
23,1,11,2024-10-02,1,15,Short but consistent
24,1,12,2024-10-02,1,17,Short but consistent
25,1,1,2024-10-03,1,32,"Early morning, very focused"
26,1,2,2024-10-03,1,20,Best session this week
27,1,3,2024-10-03,1,5,Kept the streak alive
28,1,4,2024-10-03,1,37,Feeling motivated
29,1,5,2024-10-03,1,52,NULL
30,1,6,2024-10-03,1,12,NULL
31,1,7,2024-10-03,1,0,Pushed through despite tiredness
32,1,8,2024-10-03,1,8,NULL
33,1,9,2024-10-03,1,83,Kept the streak alive
34,1,10,2024-10-03,1,5,NULL
35,1,11,2024-10-03,1,18,Did it right after waking up
36,1,12,2024-10-03,1,20,Completed with energy
37,1,1,2024-10-04,1,34,Felt great today
38,1,2,2024-10-04,0,0,NULL
39,1,3,2024-10-04,1,0,Short but consistent
40,1,4,2024-10-04,1,46,NULL
41,1,5,2024-10-04,1,35,NULL
42,1,6,2024-10-04,0,0,NULL
43,1,7,2024-10-04,1,0,Completed with energy
44,1,8,2024-10-04,0,0,NULL
45,1,9,2024-10-04,1,60,NULL
46,1,10,2024-10-04,1,12,Short but consistent
47,1,11,2024-10-04,1,12,Pushed through despite tiredness
48,1,12,2024-10-04,1,15,"Early morning, very focused"
49,1,1,2024-10-05,1,33,Best session this week
50,1,2,2024-10-05,0,0,NULL
51,1,3,2024-10-05,1,5,NULL
52,1,4,2024-10-05,1,44,Completed with energy
53,1,5,2024-10-05,1,46,Felt great today
54,1,6,2024-10-05,1,19,Best session this week
55,1,7,2024-10-05,1,5,Felt great today
56,1,8,2024-10-05,1,7,Completed with energy
57,1,9,2024-10-05,1,87,Kept the streak alive
58,1,10,2024-10-05,1,14,NULL
59,1,11,2024-10-05,1,16,Best session this week
60,1,12,2024-10-05,1,23,On a roll!
61,1,1,2024-10-06,1,43,Felt great today
62,1,2,2024-10-06,1,13,Felt great today
63,1,3,2024-10-06,1,0,Best session this week
64,1,4,2024-10-06,1,44,Pushed through despite tiredness
65,1,5,2024-10-06,1,54,Best session this week
66,1,6,2024-10-06,0,8,NULL
67,1,7,2024-10-06,1,1,Pushed through despite tiredness
68,1,8,2024-10-06,1,6,Short but consistent
69,1,9,2024-10-06,1,55,Managed to fit it in before dinner
70,1,10,2024-10-06,1,9,Did it right after waking up
71,1,11,2024-10-06,1,16,Feeling motivated
72,1,12,2024-10-06,0,0,NULL
73,1,1,2024-10-07,1,26,"Early morning, very focused"
74,1,2,2024-10-07,1,11,Feeling motivated
75,1,3,2024-10-07,1,3,NULL
76,1,4,2024-10-07,1,35,Felt great today
